

Colorado (PST) SNOTEL Site Grizzly Peak - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Mar 08 18:48:28 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,SNWD.I-1 (in) ,
505,2003-01-01,,      98,
505,2003-01-02,,      34,
505,2003-01-03,,      33,
505,2003-01-04,,      32,
505,2003-01-05,,      31,
505,2003-01-06,,      33,
505,2003-01-07,,      33,
505,2003-01-08,,      32,
505,2003-01-09,,      32,
505,2003-01-10,,      32,
505,2003-01-11,,      32,
505,2003-01-12,,      33,
505,2003-01-13,,      31,
505,2003-01-14,,      32,
505,2003-01-15,,      32,
505,2003-01-16,,      37,
505,2003-01-17,,      37,
505,2003-01-18,,      38,
505,2003-01-19,,      37,
505,2003-01-20,,      36,
505,2003-01-21,,      35,
505,2003-01-22,,      35,
505,2003-01-23,,      35,
505,2003-01-24,,      35,
505,2003-01-25,,      98,
505,2003-01-26,,      98,
505,2003-01-27,,      37,
505,2003-01-28,,      36,
505,2003-01-29,,      37,
505,2003-01-30,,      37,
505,2003-01-31,,      98,
505,2003-02-01,,      37,
505,2003-02-02,,      37,
505,2003-02-03,,      37,
505,2003-02-04,,      37,
505,2003-02-05,,      39,
505,2003-02-06,,      39,
505,2003-02-07,,      40,
505,2003-02-08,,      39,
505,2003-02-09,,      39,
505,2003-02-10,,      40,
505,2003-02-11,,      98,
505,2003-02-12,,      40,
505,2003-02-13,,      40,
505,2003-02-14,,      40,
505,2003-02-15,,      98,
505,2003-02-16,,      42,
505,2003-02-17,,      44,
505,2003-02-18,,      45,
505,2003-02-19,,      44,
505,2003-02-20,,      44,
505,2003-02-21,,      43,
505,2003-02-22,,      98,
505,2003-02-23,,      52,
505,2003-02-24,,      52,
505,2003-02-25,,      51,
505,2003-02-26,,      56,
505,2003-02-27,,      58,
505,2003-02-28,,      58,
505,2003-03-01,,      58,
505,2003-03-02,,      57,
505,2003-03-03,,      56,
505,2003-03-04,,      54,
505,2003-03-05,,      57,
505,2003-03-06,,      56,
505,2003-03-07,,      98,
505,2003-03-08,,      98,
505,2003-03-09,,      57,
505,2003-03-10,,      55,
505,2003-03-11,,      53,
505,2003-03-12,,      53,
505,2003-03-13,,      52,
505,2003-03-14,,      51,
505,2003-03-15,,      50,
505,2003-03-16,,      49,
505,2003-03-17,,      51,
505,2003-03-18,,      63,
505,2003-03-19,,      80,
505,2003-03-20,,      98,
505,2003-03-21,,      98,
505,2003-03-22,,      80,
505,2003-03-23,,      77,
