

Colorado (PST) SNOTEL Site Grizzly Peak - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 11:54:02 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,TOBS.I-1 (degC) ,TOBS.I-2 (degC) ,TOBS.I-3 (degC) ,TMAX.D-1 (degC) ,TMAX.D-2 (degC) ,TMAX.D-3 (degC) ,TMIN.D-1 (degC) ,TMIN.D-2 (degC) ,TMIN.D-3 (degC) ,TAVG.D-1 (degC) ,TAVG.D-2 (degC) ,TAVG.D-3 (degC) ,
505,1999-01-01,,    -6.1,    -6.3,    -6.3,     1.1,     2.2,     2.2,    -7.7,    -8.0,    -8.0,    -4.0,    -4.0,    -4.0,
505,1999-01-02,,   -12.1,   -12.1,   -12.1,    -5.3,    -5.3,    -5.3,   -12.1,   -12.1,   -12.1,    -7.8,    -7.7,    -7.8,
505,1999-01-03,,   -15.7,   -15.7,   -15.7,   -10.9,   -10.5,   -10.6,   -15.7,   -15.7,   -15.7,   -13.3,   -13.2,   -13.2,
505,1999-01-04,,   -14.6,   -14.5,   -14.6,   -13.8,   -13.3,   -13.5,   -17.6,   -17.5,   -17.5,   -15.4,   -15.3,   -15.3,
505,1999-01-05,,    -8.3,    -8.3,    -8.3,    -8.3,    -7.9,    -8.0,   -14.9,   -14.9,   -14.9,   -11.1,   -10.9,   -11.0,
505,1999-01-06,,    -6.1,    -5.9,    -6.0,    -6.0,    -5.7,    -5.9,    -8.8,    -8.8,    -8.9,    -7.3,    -7.3,    -7.3,
505,1999-01-07,,    -5.1,    -5.2,    -5.2,    -1.7,    -1.2,    -1.2,    -6.0,    -5.9,    -5.9,    -4.6,    -4.5,    -4.5,
505,1999-01-08,,    -8.3,    -8.4,    -8.3,    -1.0,    -1.2,    -0.7,    -8.3,    -8.4,    -8.3,    -5.1,    -5.2,    -5.1,
505,1999-01-09,,   -15.6,   -15.7,   -15.8,    -6.9,    -6.9,    -6.9,   -15.6,   -15.8,   -15.9,   -10.9,   -10.9,   -11.0,
505,1999-01-10,,    -8.0,    -8.0,    -8.0,    -5.5,    -5.4,    -5.3,   -15.5,   -15.6,   -15.7,    -9.6,    -9.6,    -9.6,
505,1999-01-11,,    -7.5,    -7.7,    -7.8,    -4.6,    -4.6,    -4.5,    -9.0,    -9.0,    -9.2,    -7.4,    -7.4,    -7.4,
505,1999-01-12,,    -6.4,    -6.7,    -6.7,     0.0,    -0.8,    -0.2,    -7.4,    -7.6,    -7.7,    -4.9,    -5.2,    -5.1,
505,1999-01-13,,    -9.4,    -9.5,    -9.5,    -3.8,    -3.5,    -3.6,    -9.7,    -9.7,    -9.9,    -6.5,    -6.6,    -6.6,
505,1999-01-14,,   -12.5,   -12.5,   -12.6,    -4.7,    -4.3,    -4.3,   -12.5,   -12.5,   -12.6,    -9.1,    -9.1,    -9.1,
505,1999-01-15,,    -6.9,    -7.2,    -7.3,    -1.8,    -2.5,    -1.9,   -14.2,   -14.3,   -14.4,    -7.9,    -8.2,    -8.1,
505,1999-01-16,,   -10.8,   -11.0,   -11.1,     0.1,    -0.4,     0.1,   -11.0,   -11.1,   -11.2,    -5.5,    -5.7,    -5.7,
505,1999-01-17,,    -7.5,    -7.5,    -7.5,    -1.8,    -1.7,    -1.6,   -11.0,   -11.1,   -11.2,    -6.8,    -6.8,    -6.9,
505,1999-01-18,,    -8.0,    -7.8,    -7.9,    -7.5,    -7.5,    -7.6,   -13.9,   -14.0,   -13.9,   -11.5,   -11.5,   -11.5,
505,1999-01-19,,    -4.0,    -4.0,    -4.0,    -2.4,    -2.3,    -2.3,    -7.7,    -7.5,    -7.7,    -4.1,    -4.1,    -4.1,
505,1999-01-20,,    -4.1,    -4.1,    -4.2,    -0.7,    -0.1,    -0.1,    -4.9,    -4.8,    -4.8,    -3.6,    -3.6,    -3.6,
505,1999-01-21,,    -7.9,    -8.0,    -7.9,    -0.2,     0.1,    -0.7,   -10.9,   -11.0,   -10.9,    -5.9,    -5.8,    -5.8,
505,1999-01-22,,   -11.5,   -11.6,   -11.5,    -3.2,    -2.7,    -2.5,   -11.5,   -11.6,   -11.5,    -8.3,    -8.3,    -8.3,
