

Colorado (PST) SNOTEL Site Grizzly Peak - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 11:54:46 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
505,2020-01-01,,    -8.0,    -2.9,   -19.5,   -10.9,
505,2020-01-02,,    -8.9,    25.7,   -14.5,    -6.8,
505,2020-01-03,,   -12.1,    18.9,   -12.4,   -10.1,
505,2020-01-04,,    -9.1,    19.4,   -15.1,    -9.3,
505,2020-01-05,,    -8.8,     2.4,   -10.1,    -4.5,
505,2020-01-06,,   -10.6,    22.1,   -10.6,    -6.1,
505,2020-01-07,,    -9.7,    -8.0,   -18.3,   -11.5,
505,2020-01-08,,    -7.9,     0.0,   -10.2,    -6.5,
505,2020-01-09,,    -9.6,    22.6,    -9.6,    -4.9,
505,2020-01-10,,   -11.7,    -4.3,   -13.8,    -9.8,
505,2020-01-11,,   -17.3,    14.7,   -19.2,   -14.6,
505,2020-01-12,,   -14.9,    -5.6,   -17.8,   -11.1,
505,2020-01-13,,   -12.7,    -7.6,   -18.8,   -12.1,
505,2020-01-14,,    -9.9,    -8.5,   -14.2,   -11.0,
505,2020-01-15,,    -8.3,    21.3,   -10.7,    -6.9,
505,2020-01-16,,    -7.3,    -0.3,   -11.8,    -7.0,
505,2020-01-17,,    -4.4,     2.5,   -13.3,    -2.7,
505,2020-01-18,,   -16.4,    18.1,   -16.4,    -8.7,
505,2020-01-19,,   -10.9,    -5.0,   -17.5,   -11.1,
505,2020-01-20,,   -10.8,    -1.5,   -11.4,    -8.7,
505,2020-01-21,,    -3.2,     5.1,   -10.9,    -3.6,
505,2020-01-22,,    -5.1,    27.0,   -10.7,    -2.4,
505,2020-01-23,,    -9.8,    -4.2,   -15.5,    -6.5,
505,2020-01-24,,    -7.5,-99.9,   -10.0,    -7.8,
505,2020-01-25,,    -6.1,    27.9,    -8.1,    -5.6,
505,2020-01-26,,    -7.1,    -2.3,   -14.3,    -5.7,
505,2020-01-27,,    -5.4,     0.9,   -13.8,    -4.8,
505,2020-01-28,,   -11.0,    -0.3,   -11.0,    -5.7,
505,2020-01-29,,    -9.8,    18.4,   -12.4,    -9.6,
505,2020-01-30,,   -12.3,    -4.2,   -12.3,    -8.8,
505,2020-01-31,,   -13.8,    18.3,   -13.8,   -10.8,
505,2020-02-01,,    -7.2,    -4.6,   -15.9,    -9.8,
505,2020-02-02,,    -3.5,     2.2,   -11.7,    -3.7,
505,2020-02-03,,    -3.2,    25.5,    -4.2,     0.4,
505,2020-02-04,,   -19.0,     0.0,   -19.0,    -7.0,
505,2020-02-05,,   -24.6,    -0.2,   -24.6,   -19.0,
505,2020-02-06,,   -15.6,     5.3,   -25.4,   -18.8,
505,2020-02-07,,    -7.9,    -7.3,   -15.6,   -10.0,
505,2020-02-08,,    -6.1,    -4.3,    -8.1,    -6.1,
505,2020-02-09,,    -9.3,     1.6,    -9.3,    -4.0,
505,2020-02-10,,    -8.9,    14.9,   -12.0,    -8.4,
505,2020-02-11,,   -16.0,    -2.1,   -16.3,    -9.4,
505,2020-02-12,,   -10.6,    13.2,   -21.4,   -12.1,
505,2020-02-13,,   -13.5,    23.6,   -15.4,   -11.8,
505,2020-02-14,,    -9.0,    -7.7,   -14.0,   -11.0,
505,2020-02-15,,    -8.3,    20.0,   -10.6,    -5.8,
505,2020-02-16,,    -7.4,    -1.8,   -16.0,    -6.3,
505,2020-02-17,,    -5.0,    -2.0,   -12.3,    -4.7,
505,2020-02-18,,   -14.3,    -3.0,   -14.3,    -7.8,
505,2020-02-19,,   -11.1,     8.6,   -17.5,   -11.3,
505,2020-02-20,,   -16.4,-99.9,   -16.4,    -9.4,
505,2020-02-21,,   -10.8,     7.7,   -19.3,   -11.1,
505,2020-02-22,,    -6.1,     3.2,   -11.2,    -5.0,
505,2020-02-23,,    -2.6,    24.2,    -6.9,    -1.9,
505,2020-02-24,,    -8.0,    -2.3,    -9.6,    -4.9,
505,2020-02-25,,   -16.1,    -7.5,   -16.1,   -12.2,
505,2020-02-26,,   -21.4,    31.5,   -21.8,   -16.4,
505,2020-02-27,,    -8.3,    25.5,   -21.7,   -12.3,
505,2020-02-28,,    -9.3,    -3.1,    -9.5,    -7.7,
505,2020-02-29,,    -6.9,     1.8,   -11.8,    -5.5,
505,2020-03-01,,    -6.2,     3.1,    -8.4,    -3.6,
505,2020-03-02,,    -5.6,    15.7,   -13.7,    -3.9,
505,2020-03-03,,   -10.6,    12.2,   -12.6,    -6.8,
505,2020-03-04,,    -8.3,    15.3,   -12.2,    -6.7,
505,2020-03-05,,    -5.6,     3.6,    -8.9,    -3.6,
505,2020-03-06,,    -4.6,    21.7,    -7.4,    -2.9,
505,2020-03-07,,    -2.8,     6.9,    -5.2,    -0.2,
505,2020-03-08,,    -0.8,     6.2,    -5.7,     0.5,
505,2020-03-09,,    -3.5,     6.0,    -4.0,     0.3,
505,2020-03-10,,    -4.8,     3.3,    -5.1,    -2.7,
505,2020-03-11,,    -5.5,    27.0,    -6.1,    -3.0,
505,2020-03-12,,    -2.2,     5.6,    -7.1,    -1.1,
505,2020-03-13,,    -4.0,    31.1,    -4.0,    -0.6,
505,2020-03-14,,    -5.9,     4.9,    -6.0,    -1.8,
505,2020-03-15,,    -5.7,     3.0,    -6.7,    -2.9,
505,2020-03-16,,    -3.0,     5.9,    -6.4,    -1.0,
505,2020-03-17,,    -1.7,     6.1,    -5.5,     0.0,
505,2020-03-18,,    -3.1,     7.4,    -3.2,     1.4,
505,2020-03-19,,    -1.8,    17.1,    -4.8,    -0.4,
505,2020-03-20,,    -8.6,    -1.2,    -8.8,    -4.5,
505,2020-03-21,,    -7.3,     0.3,    -9.8,    -5.6,
505,2020-03-22,,    -5.6,     0.9,   -10.4,    -5.0,
505,2020-03-23,,    -8.8,    22.5,    -8.9,    -5.4,
505,2020-03-24,,    -5.0,    25.7,    -9.3,    -3.9,
505,2020-03-25,,    -3.9,     3.0,    -5.9,    -2.2,
505,2020-03-26,,    -2.3,     3.8,    -4.0,    -0.9,
505,2020-03-27,,    -3.0,     6.2,   -10.4,     0.5,
505,2020-03-28,,   -10.8,    22.7,   -13.4,    -4.2,
505,2020-03-29,,   -11.9,    -4.0,   -13.9,    -9.6,
